ID_Profesor;FacultyQualificationSA_PA_SP_IP;UnidadAcademica;Sexo;Nacionalidad
93;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
94;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
95;PA;PROFESOR INTERNO;MASCULINO;CHILENA
96;IP;PROFESOR INTERNO;MASCULINO;CHILENA
97;SA;PROFESOR INTERNO;MASCULINO;CHILENA
98;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
99;SIN CALIFICACION;PROFESOR PARTIME;FEMENINO;CHILENA
100;IP;PROFESOR INTERNO;MASCULINO;CHILENA
101;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
102;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
103;SA;PROFESOR INTERNO;MASCULINO;CHILENA
104;SA;PROFESOR INTERNO;FEMENINO;CHILENA
105;SIN CALIFICACION;PROFESOR PARTIME;FEMENINO;CHILENA
106;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;DESCONOCIDA
107;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
108;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
109;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
110;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
111;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
112;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
113;SIN CALIFICACION;PROFESOR PARTIME;FEMENINO;CHILENA
114;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
115;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
116;SIN CALIFICACION;PROFESOR PARTIME;FEMENINO;CHILENA
117;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
118;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
119;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
120;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
121;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
122;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
123;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
124;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
125;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
126;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;ESTADO UNIDENSE
127;SIN CALIFICACION;PROFESOR PARTIME;FEMENINO;CHILENA
128;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
129;SIN CALIFICACION;PROFESOR PARTIME;FEMENINO;CHILENA
130;SIN CALIFICACION;PROFESOR PARTIME;FEMENINO;CHILENA
131;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;NICARAGÃœENSE
132;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
133;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
134;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
135;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
136;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
137;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
138;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
139;SIN CALIFICACION;PROFESOR PARTIME;FEMENINO;CHILENA
140;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
141;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
142;SA;PROFESOR INTERNO;FEMENINO;CHILENA
143;IP;PROFESOR INTERNO;FEMENINO;CHILENA
144;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
145;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;DESCONOCIDA
